"FIPS","county_area_sq_mi"
"00000",3531905.43
"01000",50645.33
"01001",594.44
"01003",1589.78
"01005",884.88
"01007",622.58
"01009",644.78
"01011",622.81
"01013",776.83
"01015",605.87
"01017",596.53
"01019",553.7
"01021",692.85
"01023",913.5
"01025",1238.47
"01027",603.96
"01029",560.1
"01031",678.97
"01033",592.62
"01035",850.16
"01037",650.93
"01039",1030.46
"01041",608.84
"01043",734.84
"01045",561.15
"01047",978.7
"01049",777.09
"01051",618.49
"01053",945.08
"01055",534.99
"01057",627.66
"01059",633.82
"01061",574.41
"01063",647.11
"01065",643.94
"01067",561.75
"01069",579.82
"01071",1077.87
"01073",1111.28
"01075",604.85
"01077",667.7
"01079",690.68
"01081",607.54
"01083",559.94
"01085",715.91
"01087",608.89
"01089",801.59
"01091",976.88
"01093",742.29
"01095",565.84
"01097",1229.44
"01099",1025.68
"01101",784.25
"01103",579.34
"01105",719.66
"01107",881.41
"01109",672.09
"01111",580.55
"01113",641.14
"01115",631.9
"01117",784.93
"01119",903.89
"01121",736.78
"01123",716.52
"01125",1321.76
"01127",791.19
"01129",1080.21
"01131",888.5
"01133",612.98
"02000",570640.95
"02013",6981.94
"02016",4390.28
"02020",1704.68
"02050",40570
"02060",503.84
"02068",12751.41
"02070",18568.78
"02090",7338.21
"02100",2318.6
"02105",7524.92
"02110",2701.93
"02122",16075.33
"02130",4858.41
"02150",6549.58
"02164",23652.01
"02170",24607.9
"02180",22961.76
"02185",88695.41
"02188",35572.58
"02195",3281.98
"02198",3922.87
"02220",2870.34
"02230",452.33
"02240",24768.81
"02261",34239.88
"02270",17081.43
"02275",2541.48
"02282",7649.46
"02290",145504.79
"04000",113594.08
"04001",11197.52
"04003",6165.69
"04005",18618.89
"04007",4757.93
"04009",4622.6
"04011",1843.13
"04012",4499.63
"04013",9200.14
"04015",13311.08
"04017",9950.42
"04019",9187.04
"04021",5365.61
"04023",1236.92
"04025",8123.5
"04027",5513.99
"05000",52035.48
"05001",988.77
"05003",925.35
"05005",554.28
"05007",847.36
"05009",590.23
"05011",649.23
"05013",628.58
"05015",630.09
"05017",644.3
"05019",866.07
"05021",639.47
"05023",553.69
"05025",597.78
"05027",766.05
"05029",552.25
"05031",707.21
"05033",593.09
"05035",609.76
"05037",616.38
"05039",667.39
"05041",768.15
"05043",828.36
"05045",647.88
"05047",608.86
"05049",618.19
"05051",677.78
"05053",631.81
"05055",577.7
"05057",727.52
"05059",615.2
"05061",588.55
"05063",763.95
"05065",580.58
"05067",633.94
"05069",870.75
"05071",659.8
"05073",528.27
