"FIPS","state","county","Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
"01001","AL","Autauga",4204,12119,10552,10291,11.3,32.6,28.4,27.7
"01003","AL","Baldwin",14310,40579,46025,46075,9.7,27.6,31.3,31.3
"01005","AL","Barbour",4901,6486,4566,2220,27,35.7,25.1,12.2
"01007","AL","Bibb",2650,7471,3846,1813,16.8,47.3,24.4,11.5
"01009","AL","Blount",7861,13489,13267,5010,19.8,34,33.5,12.6
"01011","AL","Bullock",1760,2817,1582,945,24.8,39.7,22.3,13.3
"01013","AL","Butler",2141,6091,3421,2235,15.4,43.9,24.6,16.1
"01015","AL","Calhoun",12620,25653,26643,14219,15.9,32.4,33.7,18
"01017","AL","Chambers",4383,9060,7003,3118,18.6,38.4,29.7,13.2
"01019","AL","Cherokee",3692,7157,5417,2407,19.8,38.3,29,12.9
"01021","AL","Chilton",5302,13125,7147,4219,17.8,44.1,24,14.2
"01023","AL","Choctaw",1754,3606,2851,1225,18.6,38.2,30.2,13
"01025","AL","Clarke",3175,7372,4205,2118,18.8,43.7,24.9,12.6
"01027","AL","Clay",2275,3366,2700,944,24.5,36.3,29.1,10.2
"01029","AL","Cleburne",2364,4135,2518,1428,22.6,39.6,24.1,13.7
"01031","AL","Coffee",4833,9723,12181,8175,13.8,27.9,34.9,23.4
"01033","AL","Colbert",6016,13927,11459,7236,15.6,36,29.7,18.7
"01035","AL","Conecuh",1703,4315,1881,949,19.2,48.8,21.3,10.7
"01037","AL","Coosa",1675,3178,2424,953,20.4,38.6,29.5,11.6
"01039","AL","Covington",4530,9368,8588,3952,17.1,35.4,32.5,14.9
"01041","AL","Crenshaw",2091,3753,2326,1505,21.6,38.8,24,15.6
"01043","AL","Cullman",10405,20382,18559,7866,18.2,35.6,32.4,13.7
"01045","AL","Dale",4732,10924,12036,5690,14.2,32.7,36.1,17
"01047","AL","Dallas",5135,9368,8076,4021,19.3,35.2,30.4,15.1
"01049","AL","DeKalb",12394,15956,13441,6085,25.9,33.3,28.1,12.7
"01051","AL","Elmore",7594,18304,16197,13664,13.6,32.8,29,24.5
"01053","AL","Escambia",4792,11546,6340,3287,18.5,44.5,24.4,12.7
"01055","AL","Etowah",11147,23665,24416,12767,15.5,32.9,33.9,17.7
"01057","AL","Fayette",2060,4868,3273,1516,17.6,41.5,27.9,12.9
"01059","AL","Franklin",4835,7666,5632,2679,23.2,36.8,27.1,12.9
"01061","AL","Geneva",3891,6924,5720,2063,20.9,37.2,30.8,11.1
"01063","AL","Greene",1406,2149,1689,589,24.1,36.8,29,10.1
"01065","AL","Hale",1647,4292,2711,1421,16.4,42.6,26.9,14.1
"01067","AL","Henry",2412,4081,3487,2187,19.8,33.5,28.7,18
"01069","AL","Houston",10261,22680,23681,15076,14.3,31.6,33,21
"01071","AL","Jackson",6526,15181,10238,5280,17.5,40.8,27.5,14.2
"01073","AL","Jefferson",46025,120037,137208,145462,10.3,26.8,30.6,32.4
"01075","AL","Lamar",1741,3950,2967,1235,17.6,39.9,30,12.5
"01077","AL","Lauderdale",7979,22812,17453,15185,12.6,36,27.5,23.9
"01079","AL","Lawrence",4919,9710,6028,2738,21,41.5,25.8,11.7
"01081","AL","Lee",9049,22855,30707,32377,9.5,24.1,32.3,34.1
"01083","AL","Limestone",10123,19463,18341,16367,15.7,30.3,28.5,25.5
"01085","AL","Lowndes",1588,2722,1750,996,22.5,38.6,24.8,14.1
"01087","AL","Macon",2215,3658,3752,2510,18.3,30.1,30.9,20.7
"01089","AL","Madison",21617,50768,69750,101650,8.9,20.8,28.6,41.7
"01091","AL","Marengo",2192,5378,3869,2084,16.2,39.8,28.6,15.4
"01093","AL","Marion",4343,7435,6770,2806,20.3,34.8,31.7,13.1
"01095","AL","Marshall",12151,19818,19442,12233,19.1,31.1,30.5,19.2
"01097","AL","Mobile",38247,92986,82763,63703,13.8,33.5,29.8,22.9
"01099","AL","Monroe",2409,6805,3464,2078,16.3,46.1,23.5,14.1
"01101","AL","Montgomery",21646,38289,41976,48131,14.4,25.5,28,32.1
"01103","AL","Morgan",13706,24350,26356,17849,16.7,29.6,32,21.7
"01105","AL","Perry",1275,2293,1334,913,21.9,39.4,22.9,15.7
"01107","AL","Pickens",2829,5352,4425,1959,19.4,36.7,30.4,13.5
"01109","AL","Pike",3660,6405,4657,4536,19,33.3,24.2,23.6
"01111","AL","Randolph",3340,5719,4329,2350,21.2,36.3,27.5,14.9
"01113","AL","Russell",6495,12583,13434,6438,16.7,32.3,34.5,16.5
"01115","AL","St. Clair",9255,21865,19587,9991,15.2,36,32.3,16.5
"01117","AL","Shelby",11258,29106,42634,60424,7.8,20.3,29.7,42.1
"01119","AL","Sumter",1238,2969,1936,1715,15.8,37.8,24.6,21.8
"01121","AL","Talladega",10671,19607,17827,8017,19,34.9,31.8,14.3
"01123","AL","Tallapoosa",5581,9402,8355,5244,19.5,32.9,29.2,18.3
"01125","AL","Tuscaloosa",14748,38097,36040,38669,11.6,29.9,28.3,30.3
"01127","AL","Walker",8606,16685,14479,5204,19.1,37.1,32.2,11.6
"01129","AL","Washington",2243,4954,2996,1276,19.6,43.2,26.1,11.1
"01131","AL","Wilcox",1662,2903,1738,901,23.1,40.3,24.1,12.5
"01133","AL","Winston",3755,6420,4683,2326,21.9,37.4,27.3,13.5
"02010","AK","Aleutian ",NA,NA,NA,NA,NA,NA,NA,NA
"02013","AK","Aleutians East ",358,1061,882,336,13.6,40.2,33.4,12.7
"02016","AK","Aleutians West Cens",459,1664,1309,675,11.2,40.5,31.9,16.4
"02020","AK","Anchorage Munic",11867,45753,66655,67719,6.2,23.8,34.7,35.3
"02050","AK","Bethel Cens",1798,4371,2314,1194,18.6,45.2,23.9,12.3
"02060","AK","Bristol Bay ",36,225,240,144,5.6,34.9,37.2,22.3
"02068","AK","Denali ",25,418,461,697,1.6,26.1,28.8,43.5
"02070","AK","Dillingham Cens",370,1138,835,559,12.7,39.2,28.8,19.3
"02090","AK","Fairbanks North Star ",3381,13785,24520,20152,5.5,22.3,39.7,32.6
"02100","AK","Haines ",57,561,553,701,3,30,29.5,37.4
