"FIPS","state","county","percentage16_Donald_Trump","percentage16_Hillary_Clinton","total_votes16","votes16_Donald_Trump","votes16_Hillary_Clinton","percentage20_Donald_Trump","percentage20_Joe_Biden","total_votes20","votes20_Donald_Trump","votes20_Joe_Biden","lat","long","cases","deaths","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","RUCC_code","UBI_code","Less.than.a.high.school.diploma..2014.18","High.school.diploma.only..2014.18","Some.college.or.associate.s.degree..2014.18","Bachelor.s.degree.or.higher..2014.18","Percent.of.adults.with.less.than.a.high.school.diploma..2014.18","Percent.of.adults.with.a.high.school.diploma.only..2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree..2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2014.18","tot_poveri","perc_poveri","estimated_median_household_income","county_area_sq_mi","pop_density"
"01001","AL","Autauga",0.734,0.24,24661,18110,5908,0.715,0.27,27639,19764,7450,32.53952745,-86.64408227,2173,31,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0,41016,55317,2838,27824,2024,13.7,20.1,35.3,18,23.2,8.1,15.4,86,9.6,0.1,0.6,1.3,2.5,25.8,24112,74.1,20.2,5.6,0.1,5.2,2,2,4204,12119,10552,10291,11.3,32.6,28.4,27.7,7587,13.8,59338,594.44,92.5846174550838
"01003","AL","Baldwin",0.774,0.196,94090,72780,18409,0.762,0.223,108945,83055,24344,30.72774991,-87.72207058,6966,71,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0,155376,52562,1348,29364,735,11.8,16.1,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27,89527,80.7,12.9,6.3,0.1,5.5,3,2,14310,40579,46025,46075,9.7,27.6,31.3,31.3,21069,9.8,57588,1589.78,127.917070286455
"01005","AL","Barbour",0.523,0.467,10390,5431,4848,0.536,0.456,10457,5605,4772,31.868263,-85.3871286,1061,9,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0,20269,33368,2551,17561,798,27.2,44.9,25,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878,74.1,19.1,6.5,0.3,12.4,6,6,4901,6486,4566,2220,27,35.7,25.1,12.2,6788,30.9,34382,884.88,29.6096645872887
"01007","AL","Bibb",0.77,0.214,8748,6733,1874,0.784,0.207,9573,7508,1982,32.99642064,-87.1251146,878,15,22580,12251,10329,2.4,74.6,22,0.4,0,0,17662,43404,3431,20911,1889,15.2,26.6,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30,8171,76,17.4,6.3,0.3,8.2,1,1,2650,7471,3846,1813,16.8,47.3,24.4,11.5,4400,21.8,46064,622.58,36.2684313662501
"01009","AL","Blount",0.899,0.085,25384,22808,2150,0.896,0.096,27459,24595,2627,33.98210918,-86.56790593,2095,25,57667,28490,29177,9,87.4,1.5,0.3,0.1,0,42513,47412,2630,22021,850,15.6,25.4,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35,21380,83.9,11.9,4,0.1,4.9,1,1,7861,13489,13267,5010,19.8,34,33.5,12.6,7527,13.2,50412,644.78,89.4367070938925
"01011","AL","Bullock",0.242,0.751,4701,1139,3530,0.248,0.747,4603,1143,3439,32.10030533,-85.71265535,655,17,10478,5616,4862,0.3,21.6,75.6,1,0.7,0,8212,29655,5376,20856,2355,28.5,50.4,19.7,17.1,18.6,14,30.6,73.1,15.7,0.3,6.2,1.7,3,29.8,4290,81.4,13.6,5,0,12.1,6,6,1760,2817,1582,945,24.8,39.7,22.3,13.3,3610,42.5,29267,622.81,16.8237504214769
"01013","AL","Butler",0.563,0.428,8685,4891,3716,0.576,0.418,9466,5448,3953,31.75300095,-86.68057478,1024,41,20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0,15459,36326,2701,19004,943,24.4,34.8,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0,0.9,0.9,2,23.2,7727,79.1,15.3,5.3,0.3,7.6,6,6,2141,6091,3421,2235,15.4,43.9,24.6,16.1,4731,24.5,37365,776.83,25.9078562877335
"01015","AL","Calhoun",0.692,0.279,47376,32803,13197,0.689,0.298,50743,34964,15118,33.77483727,-85.82630386,4892,65,115527,55593,59934,3.6,72.7,20.4,0.2,1,0,88383,43686,1491,23638,793,18.6,26.6,29,17.5,23.7,10.4,19.4,85,9.2,0.2,1.3,1.1,3.2,24.8,47392,74.9,19.9,5.1,0.1,10.1,3,2,12620,25653,26643,14219,15.9,32.4,33.7,18,21719,19.5,45400,605.87,190.679518708634
"01017","AL","Chambers",0.566,0.418,13778,7803,5763,0.573,0.416,15269,8748,6356,32.91360079,-85.39072749,1392,47,33895,16320,17575,2.2,56.2,39.3,0.3,1,0,26259,37342,2011,22002,1205,18.8,29.1,24.3,13.5,23,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2,23.6,14527,84.5,11.8,3.7,0,6.4,6,5,4383,9060,7003,3118,18.6,38.4,29.7,13.2,6181,18.7,39917,596.53,56.8202772702127
"01019","AL","Cherokee",0.839,0.145,10503,8809,1524,0.86,0.132,12275,10562,1619,34.17805983,-85.60638968,787,15,25855,12862,12993,1.6,91.8,5,0.5,0.1,0,20620,40041,2316,23010,1354,16.1,20,28.8,14.8,18.1,11.9,26.5,85,12.1,0.4,0.3,0.3,2,26.5,9879,74.8,17.1,8.1,0,5.3,6,6,3692,7157,5417,2407,19.8,38.3,29,12.9,4180,16.3,42132,553.7,46.6949611703088
"01021","AL","Chilton",0.825,0.159,18255,15068,2909,0.833,0.159,19260,16052,3056,32.85044126,-86.7173256,1946,33,43805,21554,22251,7.7,80.4,9.5,0.4,0.4,0,31776,43501,2877,23368,1925,19.4,27.8,25.3,14.5,23.7,15.5,21,83.2,12.6,0.1,0.6,1.8,1.7,32.5,17675,81.1,14,4.5,0.4,6.7,1,1,5302,13125,7147,4219,17.8,44.1,24,14.2,7542,17.3,47547,692.85,63.2243631377643
"01023","AL","Choctaw",0.564,0.428,7268,4102,3109,0.576,0.419,7461,4294,3126,32.02227341,-88.2656443,395,12,13188,6277,6911,0.5,56.3,42.1,0,0.1,0,10454,32122,2797,20994,1307,22.3,32.8,23.6,15.4,22,17.1,21.9,81.8,13.7,0,1.7,1.2,1.6,32.7,4301,79.9,14.8,4.9,0.4,9.8,9,10,1754,3606,2851,1225,18.6,38.2,30.2,13,2806,22.1,39907,913.5,14.4367816091954
"01025","AL","Clarke",0.55,0.442,12936,7109,5712,0.558,0.437,13102,7310,5730,31.68099859,-87.83548597,1406,17,24625,11649,12976,0.2,53,45.7,0.1,0.5,0.1,19087,33827,2336,20765,1203,25.3,30.7,21.6,14.3,24.8,13.7,25.6,83.7,11.9,0.2,0.7,2.7,0.9,23.9,7933,83.1,11.8,5.1,0,15.2,7,11,3175,7372,4205,2118,18.8,43.7,24.9,12.6,5381,22.8,40741,1238.47,19.8834045233231
"01027","AL","Clay",0.796,0.188,6572,5230,1234,0.808,0.183,6913,5589,1262,33.26984193,-85.85836077,776,12,13407,6471,6936,3.1,80.2,14.7,0.9,0,0,10332,37287,6507,21330,1553,19.1,23.5,22.2,14.6,18.4,12.9,31.9,87.5,6,0,2.8,0.6,3,30.3,5509,77.8,14.5,7.7,0,6.4,9,10,2275,3366,2700,944,24.5,36.3,29.1,10.2,2285,17.6,39201,603.96,22.1984899662229
"01029","AL","Cleburne",0.878,0.105,6532,5738,684,0.898,0.093,7210,6472,672,33.67679204,-85.52005899,590,9,14939,7367,7572,2.4,92.7,2.8,0.3,0.5,0,11329,37396,5390,20873,1251,19.1,31,25.7,11.4,23.2,18,21.7,81.8,14.5,0,0.9,0.1,2.7,33.2,5743,76.1,15.7,8.2,0,7.8,8,4,2364,4135,2518,1428,22.6,39.6,24.1,13.7,2356,16,46495,560.1,26.672022853062
"01031","AL","Coffee",0.771,0.204,20513,15825,4194,0.759,0.228,22180,16832,5050,31.39932826,-85.98901039,1878,11,51073,25225,25848,6.7,71,17.1,1,1.3,0,38026,49821,1945,26216,950,16.1,26.3,31.6,17.3,21.4,13.1,16.7,86.6,8.1,0,1,1.4,2.8,21.7,21639,73.6,20.7,5.6,0.1,6,4,5,4833,9723,12181,8175,13.8,27.9,34.9,23.4,7053,13.8,55122,678.97,75.2212910732433
"01033","AL","Colbert",0.679,0.296,24626,16718,7296,0.702,0.286,24668,17311,7057,34.69847452,-87.80168544,2307,32,54435,26143,28292,2.4,78.8,15.9,0.7,0.5,0,42195,45477,1959,23675,816,16.8,24.1,27.1,15.4,26,11.2,20.3,89.1,7.3,0.1,0.7,0.8,2,23.1,22180,78.1,16.1,5.5,0.3,6.9,3,2,6016,13927,11459,7236,15.6,36,29.7,18.7,7459,13.8,49055,592.62,91.8548142148426
"01035","AL","Conecuh",0.522,0.469,6543,3413,3069,0.535,0.46,6419,3435,2951,31.43401703,-86.99320044,577,13,12649,6040,6609,1.8,50.3,46.3,0.2,0,0,9812,30434,3446,16337,934,26.4,39.3,15.9,19.7,24.3,12.8,27.4,90,6.7,0.4,0.8,0.4,1.7,29.6,3945,79.5,12.3,7.2,1,14.5,7,11,1703,4315,1881,949,19.2,48.8,21.3,10.7,2979,24.4,32613,850.16,14.8783758351369
"01037","AL","Coosa",0.646,0.341,5223,3376,1780,0.663,0.328,5472,3626,1794,32.93690146,-86.24847739,223,3,10955,5474,5481,0.1,65.3,33.2,0.1,0,0,8989,34792,3587,20342,1728,14.4,17.9,17.6,23.2,23.7,14.5,20.9,83.2,9.7,0.6,1.7,0.6,4.2,29.8,3897,78.8,15.9,5.4,0,11.3,8,3,1675,3178,2424,953,20.4,38.6,29.5,11.6,1973,18.9,42423,650.93,16.8297666415744
"01039","AL","Covington",0.836,0.15,15818,13222,2379,0.837,0.156,17418,14579,2717,31.2477854,-86.45050893,1892,30,37519,18133,19386,1.6,83.5,13,0.3,0.4,0,29164,39467,2392,22431,830,17.6,25,29.2,14.3,22.2,15.8,18.4,86.8,8.6,0.2,1.1,1.5,1.9,25.2,14686,80,13.2,6.7,0.1,10.7,6,6,4530,9368,8588,3952,17.1,35.4,32.5,14.9,7239,19.9,40203,1030.46,36.4099528365972
"01041","AL","Crenshaw",0.722,0.266,6252,4511,1663,0.735,0.257,6617,4864,1700,31.72941803,-86.31593104,621,30,13866,6786,7080,1.8,71.2,23.1,0.8,1.4,0,10551,38937,3177,21580,1212,17.6,22.5,26.4,13.1,24.1,13.2,23.3,81.2,12.2,0.1,1.7,0.8,4,28.6,5700,73,19.1,7.8,0.2,6.4,8,6,2091,3753,2326,1505,21.6,38.8,24,15.6,2661,19.5,39057,608.84,22.77445634321
