"FIPS","state","county","tot_poveri","perc_poveri","estimated_median_household_income"
"01001","AL","Autauga",7587,13.8,59338
"01003","AL","Baldwin",21069,9.8,57588
"01005","AL","Barbour",6788,30.9,34382
"01007","AL","Bibb",4400,21.8,46064
"01009","AL","Blount",7527,13.2,50412
"01011","AL","Bullock",3610,42.5,29267
"01013","AL","Butler",4731,24.5,37365
"01015","AL","Calhoun",21719,19.5,45400
"01017","AL","Chambers",6181,18.7,39917
"01019","AL","Cherokee",4180,16.3,42132
"01021","AL","Chilton",7542,17.3,47547
"01023","AL","Choctaw",2806,22.1,39907
"01025","AL","Clarke",5381,22.8,40741
"01027","AL","Clay",2285,17.6,39201
"01029","AL","Cleburne",2356,16,46495
"01031","AL","Coffee",7053,13.8,55122
"01033","AL","Colbert",7459,13.8,49055
"01035","AL","Conecuh",2979,24.4,32613
"01037","AL","Coosa",1973,18.9,42423
"01039","AL","Covington",7239,19.9,40203
"01041","AL","Crenshaw",2661,19.5,39057
"01043","AL","Cullman",11925,14.5,45796
"01045","AL","Dale",7743,16.2,45309
"01047","AL","Dallas",11841,31.4,34035
"01049","AL","DeKalb",14975,21.3,39491
"01051","AL","Elmore",8559,11.2,60367
"01053","AL","Escambia",8022,23.6,38418
"01055","AL","Etowah",17509,17.5,44903
"01057","AL","Fayette",3801,23.5,39254
"01059","AL","Franklin",5939,19.2,39388
"01061","AL","Geneva",5537,21.3,37823
"01063","AL","Greene",2459,30.1,28524
"01065","AL","Hale",3705,25.6,34724
"01067","AL","Henry",3037,17.9,46027
"01069","AL","Houston",17032,16.5,47993
"01071","AL","Jackson",10046,19.7,41929
"01073","AL","Jefferson",103604,16.1,55013
"01075","AL","Lamar",2374,17.4,40936
"01077","AL","Lauderdale",12645,14,48707
"01079","AL","Lawrence",6297,19.3,43909
"01081","AL","Lee",30075,19,48937
"01083","AL","Limestone",10633,11.4,64863
"01085","AL","Lowndes",2474,25.1,33973
"01087","AL","Macon",5031,30.2,32495
"01089","AL","Madison",42667,11.9,63755
"01091","AL","Marengo",4499,24,37733
"01093","AL","Marion",5844,20.2,37887
"01095","AL","Marshall",17341,18.3,46233
"01097","AL","Mobile",84539,20.8,43598
"01099","AL","Monroe",4560,21.9,39556
"01101","AL","Montgomery",43567,20.1,49640
"01103","AL","Morgan",15419,13.2,52797
"01105","AL","Perry",2943,35.3,26814
"01107","AL","Pickens",4177,23.1,37586
"01109","AL","Pike",7315,23.6,37259
"01111","AL","Randolph",4375,19.7,40546
"01113","AL","Russell",12384,21.7,39104
"01115","AL","St. Clair",10432,12,57284
"01117","AL","Shelby",16916,8,75663
"01119","AL","Sumter",4076,34.7,27859
"01121","AL","Talladega",14825,19.3,41630
"01123","AL","Tallapoosa",7839,19.7,42205
"01125","AL","Tuscaloosa",33330,16.8,52557
"01127","AL","Walker",11231,17.9,45434
"01129","AL","Washington",2846,17.6,44424
"01131","AL","Wilcox",3504,33.4,25385
"01133","AL","Winston",4338,18.6,41156
"02013","AK","Aleutians East ",544,15.5,70081
"02016","AK","Aleutians West Cens",550,10,82633
"02020","AK","Anchorage ",27075,9.5,82113
"02050","AK","Bethel Cens",5869,32.7,44304
"02060","AK","Bristol Bay ",96,11.2,77257
"02068","AK","Denali ",135,6.9,75477
"02070","AK","Dillingham Cens",1091,22,54524
"02090","AK","Fairbanks North Star ",8104,8.6,74268
"02100","AK","Haines ",259,10.5,58943
"02105","AK","Hoonah-Angoon Cens",370,17.2,51188
"02110","AK","Juneau ",2299,7.3,79173
"02122","AK","Kenai Peninsula ",7103,12.4,65439
"02130","AK","Ketchikan Gateway ",1244,9.1,68309
"02150","AK","Kodiak Island ",1073,8.2,74109
"02158","AK","Kusilvak Cens",2905,35.1,32728
"02164","AK","Lake and Peninsula ",288,18.2,49403
"02170","AK","Matanuska-Susitna ",10937,10.4,74649
"02180","AK","Nome Cens",2168,22,55318
"02185","AK","North Slope ",1094,11.1,89276
"02188","AK","Northwest Arctic ",1604,21.1,59337
"02195","AK","Petersburg ",232,7.2,66075
"02198","AK","Prince of Wales-Hyder Cens",1057,16.5,49356
"02220","AK","Sitka ",656,7.7,71825
"02230","AK","Skagway Munic",49,4.3,74635
"02240","AK","Southeast Fairbanks Cens",918,13.4,63527
"02261","AK","Valdez-Cordova Cens",880,9.7,68528
"02275","AK","Wrangell City and ",287,11.6,57832
"02282","AK","Yakutat ",79,13.1,59523
"02290","AK","Yukon-Koyukuk Cens",1259,23.7,38912
"04001","AZ","Apache",26435,37.3,33652
"04003","AZ","Cochise",18273,15.1,49164
"04005","AZ","Coconino",20964,15.9,60187
"04007","AZ","Gila",10804,20.4,43585
"04009","AZ","Graham",7118,20.2,50157
"04011","AZ","Greenlee",985,10.5,65818
"04012","AZ","La Paz",4921,23.7,37350
"04013","AZ","Maricopa",535183,12.3,65234
"04015","AZ","Mohave",34411,16.8,45129
"04017","AZ","Navajo",30876,28.5,40650
"04019","AZ","Pima",164927,16.2,53395
"04021","AZ","Pinal",54399,12.9,58848
"04023","AZ","Santa Cruz",11287,24.4,40545
"04025","AZ","Yavapai",30060,13.2,48758
"04027","AZ","Yuma",39648,19.5,44116
"05001","AR","Arkansas",3120,17.9,43887
"05003","AR","Ashley",3876,19.6,41127
"05005","AR","Baxter",6216,15.1,39686
"05007","AR","Benton",23290,8.6,68978
"05009","AR","Boone",5472,14.8,44482
"05011","AR","Bradley",2329,21.7,37729
"05013","AR","Calhoun",800,15.7,44969
"05015","AR","Carroll",4499,16.1,45023
"05017","AR","Chicot",3039,31.4,31787
"05019","AR","Clark",3838,19.9,45408
"05021","AR","Clay",3035,20.7,37687
"05023","AR","Cleburne",3573,14.6,44902
"05025","AR","Cleveland",1232,15.5,47600
"05027","AR","Columbia",4799,22.4,40909
"05029","AR","Conway",3693,17.9,44565
"05031","AR","Craighead",18768,17.9,45615
"05033","AR","Crawford",10027,16,47363
"05035","AR","Crittenden",9056,19.2,42606
"05037","AR","Cross",2940,18,41214
