"FIPS","state","county","rural_urban_code","urban_influence_code"
"01001","AL","Autauga",2,2
"01003","AL","Baldwin",4,5
"01005","AL","Barbour",6,6
"01007","AL","Bibb",1,1
"01009","AL","Blount",1,1
"01011","AL","Bullock",6,6
"01013","AL","Butler",6,6
"01015","AL","Calhoun",3,2
"01017","AL","Chambers",6,5
"01019","AL","Cherokee",8,6
"01021","AL","Chilton",1,1
"01023","AL","Choctaw",9,10
"01025","AL","Clarke",7,11
"01027","AL","Clay",9,10
"01029","AL","Cleburne",8,4
"01031","AL","Coffee",6,5
"01033","AL","Colbert",3,2
"01035","AL","Conecuh",9,11
"01037","AL","Coosa",8,7
"01039","AL","Covington",7,9
"01041","AL","Crenshaw",8,6
"01043","AL","Cullman",6,3
"01045","AL","Dale",4,5
"01047","AL","Dallas",4,5
"01049","AL","DeKalb",6,6
"01051","AL","Elmore",2,2
"01053","AL","Escambia",6,6
"01055","AL","Etowah",3,2
"01057","AL","Fayette",6,6
"01059","AL","Franklin",6,6
"01061","AL","Geneva",3,2
"01063","AL","Greene",3,2
"01065","AL","Hale",3,2
"01067","AL","Henry",3,2
"01069","AL","Houston",3,2
"01071","AL","Jackson",6,5
"01073","AL","Jefferson",1,1
"01075","AL","Lamar",9,10
"01077","AL","Lauderdale",3,2
"01079","AL","Lawrence",3,2
"01081","AL","Lee",3,2
"01083","AL","Limestone",2,2
"01085","AL","Lowndes",2,2
"01087","AL","Macon",6,5
"01089","AL","Madison",2,2
"01091","AL","Marengo",7,11
"01093","AL","Marion",8,4
"01095","AL","Marshall",4,5
"01097","AL","Mobile",2,2
"01099","AL","Monroe",7,11
"01101","AL","Montgomery",2,2
"01103","AL","Morgan",3,2
"01105","AL","Perry",8,6
"01107","AL","Pickens",8,6
"01109","AL","Pike",6,5
"01111","AL","Randolph",6,4
"01113","AL","Russell",2,2
"01115","AL","St. Clair",1,1
"01117","AL","Shelby",1,1
"01119","AL","Sumter",8,6
"01121","AL","Talladega",4,5
"01123","AL","Tallapoosa",6,6
"01125","AL","Tuscaloosa",3,2
"01127","AL","Walker",1,1
"01129","AL","Washington",8,7
"01131","AL","Wilcox",8,7
"01133","AL","Winston",6,4
"02013","AK","Aleutians East ",9,12
"02016","AK","Aleutians West Cens",7,11
"02020","AK","Anchorage ",2,2
"02050","AK","Bethel Cens",7,11
"02060","AK","Bristol Bay ",9,12
"02068","AK","Denali ",8,7
"02070","AK","Dillingham Cens",9,12
"02090","AK","Fairbanks North Star ",3,2
"02100","AK","Haines ",9,10
"02105","AK","Hoonah-Angoon Cens",NA,NA
"02110","AK","Juneau ",5,8
"02122","AK","Kenai Peninsula ",7,11
"02130","AK","Ketchikan Gateway ",7,8
"02150","AK","Kodiak Island ",7,8
